config,energy_fraction,retcode,n_S1,n_S2,n_S3,S1_class,S2_class,S3_class,E_drift_pct
two_dimers,0.1,Failure,0,0,0,escape,escape,escape,12.596389639575428
two_dimers,0.25,Failure,1,1,1,sparse,sparse,sparse,4.725203557723692
two_dimers,0.5,Failure,2,1,1,sparse,sparse,sparse,1.9618852642460562
two_dimers,0.75,Failure,1,0,1,escape,escape,escape,1336.5307540537278
rhombus,0.1,Failure,0,0,0,escape,escape,escape,6.755052378904231
rhombus,0.25,Failure,0,0,0,escape,escape,escape,19.649993886668046
rhombus,0.5,Failure,0,0,1,escape,escape,escape,264.71306669159736
rhombus,0.75,Success,0,4,5,sparse,sparse,sparse,0.0757903279672215
alternating_square,0.1,Failure,0,3,0,sparse,sparse,sparse,0.052966333310124104
alternating_square,0.25,Failure,1,25,2,escape,escape,escape,34.34802291048397
alternating_square,0.5,Failure,2,4,1,escape,escape,escape,61.83314914679586
alternating_square,0.75,Failure,2,0,3,escape,escape,escape,243.7727239027916
