config,energy_fraction,lambda_max,retcode,completed_intervals,delta_final
alternating_square,0.100,2.590144,partial,1,3.651e-08
alternating_square,0.250,9.064075,partial,2,4.132e-05
alternating_square,0.450,5.850658,partial,11,4.530e-07
alternating_square,0.700,1.700534,Success,40,6.138e-08
rhombus,0.100,1.417986,partial,1,2.032e-08
rhombus,0.250,7.383334,partial,1,4.011e-07
rhombus,0.450,8.089032,partial,1,5.708e-07
rhombus,0.700,9.148347,partial,1,9.695e-07
two_dimers,0.100,9.180676,partial,5,1.726e-05
two_dimers,0.250,8.309878,partial,5,2.966e-05
two_dimers,0.450,5.502918,partial,4,6.469e-07
two_dimers,0.700,3.013300,partial,4,6.198e-07
