r0_like,p0,label,drift_pct
0.2000,0.0500,Failure,NaN
0.2000,0.1875,Failure,NaN
0.2000,0.3250,Failure,NaN
0.2000,0.4625,Failure,NaN
0.2000,0.6000,Failure,NaN
0.5250,0.0500,Failure,NaN
0.5250,0.1875,Failure,NaN
0.5250,0.3250,Failure,NaN
0.5250,0.4625,Failure,NaN
0.5250,0.6000,Failure,NaN
0.8500,0.0500,Failure,NaN
0.8500,0.1875,Failure,NaN
0.8500,0.3250,Failure,NaN
0.8500,0.4625,Failure,NaN
0.8500,0.6000,Failure,NaN
1.1750,0.0500,Failure,NaN
1.1750,0.1875,Failure,NaN
1.1750,0.3250,Failure,NaN
1.1750,0.4625,Failure,NaN
1.1750,0.6000,Failure,NaN
1.5000,0.0500,Failure,NaN
1.5000,0.1875,Failure,NaN
1.5000,0.3250,Failure,NaN
1.5000,0.4625,Failure,NaN
1.5000,0.6000,Failure,NaN
