ic_name,a,retcode,t_final,E_drift_pct,bound,r_max
F1b_outbreath_s2.00_v0.50,0.00,Failure,12.912000,0.180868,true,5.65685
F1b_outbreath_s2.00_v0.50,0.10,Failure,10.410000,0.219961,true,5.30172
F1b_outbreath_s2.00_v0.50,0.50,Failure,5.905000,0.0618613,true,4.64413
F1b_outbreath_s2.00_v0.50,1.00,Failure,3.853000,0.0357753,true,4.33913
rhombus_a1.5_b1.15_eta0.75,0.00,Success,30.000000,0.0757903,false,29.5717
rhombus_a1.5_b1.15_eta0.75,0.10,Success,30.000000,1.65157,false,28.6177
rhombus_a1.5_b1.15_eta0.75,0.50,Failure,1.211000,9.84623,true,3
rhombus_a1.5_b1.15_eta0.75,1.00,Failure,0.855000,6.85488,true,3
alt_square_s1.0_eta0.25,0.00,Failure,2.796000,34.348,true,1.41818
alt_square_s1.0_eta0.25,0.10,Failure,1.946000,283.296,true,1.43909
alt_square_s1.0_eta0.25,0.50,Failure,0.831000,19.4489,true,1.41421
alt_square_s1.0_eta0.25,1.00,Failure,0.322000,0.62086,true,1.41421
two_dimers_a0.2_R2.0_intra0.3,0.00,Failure,0.017000,0.073029,true,2.01005
two_dimers_a0.2_R2.0_intra0.3,0.10,Failure,0.015000,0.0528414,true,2.01005
two_dimers_a0.2_R2.0_intra0.3,0.50,Failure,0.012000,0.466335,true,2.01006
two_dimers_a0.2_R2.0_intra0.3,1.00,Failure,0.009000,0.57127,true,2.01006
nucleus_plus_orbiters_A,0.00,Failure,0.207000,0.364691,true,5.71078
nucleus_plus_orbiters_A,0.10,Failure,0.207000,0.295661,true,5.71062
nucleus_plus_orbiters_A,0.50,Failure,0.207000,0.171719,true,5.70998
nucleus_plus_orbiters_A,1.00,Failure,0.207000,0.138208,true,5.70925
