id,agent,family,config_name,n_particles,dims,masses,charges,c,dt,tmax,zollner_a,bounce_r,q0_json,p0_json,retcode,E_drift_pct,survival_time,bound,tags,notes
F1a_pure_brake_s0.50,5,breathing_square_L0,F1a_pure_brake_s0.50,4,2,"[1.0,1.0,1.0,1.0]","[1.0,1.0,-1.0,-1.0]",1.0,0.001,20.0,0.0,0.0,"[0.25, 0.25, -0.25, -0.25, -0.25, 0.25, 0.25, -0.25]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Unknown,-1.0000,-1,false,"breathing_square_L0,periodic_orbit",period=-1.000000;E=-5.171573;floquet_mag=-1.000000
F1b_outbreath_s0.50_v0.10,5,breathing_square_L0,F1b_outbreath_s0.50_v0.10,4,2,"[1.0,1.0,1.0,1.0]","[1.0,1.0,-1.0,-1.0]",1.0,0.001,20.0,0.0,0.0,"[0.25, 0.25, -0.25, -0.25, -0.25, 0.25, 0.25, -0.25]","[0.07071067811865475, 0.07071067811865475, -0.07071067811865475, -0.07071067811865475, -0.07071067811865475, 0.07071067811865475, 0.07071067811865475, -0.07071067811865475]",Unknown,-1.0000,-1,false,"breathing_square_L0,periodic_orbit",period=-1.000000;E=-5.128141;floquet_mag=-1.000000
F1b_outbreath_s0.50_v0.30,5,breathing_square_L0,F1b_outbreath_s0.50_v0.30,4,2,"[1.0,1.0,1.0,1.0]","[1.0,1.0,-1.0,-1.0]",1.0,0.001,20.0,0.0,0.0,"[0.25, 0.25, -0.25, -0.25, -0.25, 0.25, 0.25, -0.25]","[0.21213203435596423, 0.21213203435596423, -0.21213203435596423, -0.21213203435596423, -0.21213203435596423, 0.21213203435596423, 0.21213203435596423, -0.21213203435596423]",Unknown,-1.0000,-1,false,"breathing_square_L0,periodic_orbit",period=0.185000;E=-4.780690;floquet_mag=-1.000000
F1b_outbreath_s0.50_v0.40,5,breathing_square_L0,F1b_outbreath_s0.50_v0.40,4,2,"[1.0,1.0,1.0,1.0]","[1.0,1.0,-1.0,-1.0]",1.0,0.001,20.0,0.0,0.0,"[0.25, 0.25, -0.25, -0.25, -0.25, 0.25, 0.25, -0.25]","[0.282842712474619, 0.282842712474619, -0.282842712474619, -0.282842712474619, -0.282842712474619, 0.282842712474619, 0.282842712474619, -0.282842712474619]",Unknown,-1.0000,-1,false,"breathing_square_L0,periodic_orbit",period=0.272000;E=-4.476670;floquet_mag=-1.000000
F1b_outbreath_s0.50_v0.50,5,breathing_square_L0,F1b_outbreath_s0.50_v0.50,4,2,"[1.0,1.0,1.0,1.0]","[1.0,1.0,-1.0,-1.0]",1.0,0.001,20.0,0.0,0.0,"[0.25, 0.25, -0.25, -0.25, -0.25, 0.25, 0.25, -0.25]","[0.35355339059327373, 0.35355339059327373, -0.35355339059327373, -0.35355339059327373, -0.35355339059327373, 0.35355339059327373, 0.35355339059327373, -0.35355339059327373]",Unknown,-1.0000,-1,false,"breathing_square_L0,periodic_orbit",period=0.392000;E=-4.085786;floquet_mag=-1.000000
F1b_outbreath_s0.50_v0.60,5,breathing_square_L0,F1b_outbreath_s0.50_v0.60,4,2,"[1.0,1.0,1.0,1.0]","[1.0,1.0,-1.0,-1.0]",1.0,0.001,20.0,0.0,0.0,"[0.25, 0.25, -0.25, -0.25, -0.25, 0.25, 0.25, -0.25]","[0.42426406871192845, 0.42426406871192845, -0.42426406871192845, -0.42426406871192845, -0.42426406871192845, 0.42426406871192845, 0.42426406871192845, -0.42426406871192845]",Unknown,-1.0000,-1,false,"breathing_square_L0,periodic_orbit",period=0.569000;E=-3.608040;floquet_mag=-1.000000
F1b_outbreath_s0.50_v0.70,5,breathing_square_L0,F1b_outbreath_s0.50_v0.70,4,2,"[1.0,1.0,1.0,1.0]","[1.0,1.0,-1.0,-1.0]",1.0,0.001,20.0,0.0,0.0,"[0.25, 0.25, -0.25, -0.25, -0.25, 0.25, 0.25, -0.25]","[0.4949747468305832, 0.4949747468305832, -0.4949747468305832, -0.4949747468305832, -0.4949747468305832, 0.4949747468305832, 0.4949747468305832, -0.4949747468305832]",Unknown,-1.0000,-1,false,"breathing_square_L0,periodic_orbit",period=0.862000;E=-3.043431;floquet_mag=-1.000000
F1a_pure_brake_s1.00,5,breathing_square_L0,F1a_pure_brake_s1.00,4,2,"[1.0,1.0,1.0,1.0]","[1.0,1.0,-1.0,-1.0]",1.0,0.001,20.0,0.0,0.0,"[0.5, 0.5, -0.5, -0.5, -0.5, 0.5, 0.5, -0.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Unknown,-1.0000,-1,false,"breathing_square_L0,periodic_orbit",period=-1.000000;E=-2.585786;floquet_mag=-1.000000
F1b_outbreath_s1.00_v0.10,5,breathing_square_L0,F1b_outbreath_s1.00_v0.10,4,2,"[1.0,1.0,1.0,1.0]","[1.0,1.0,-1.0,-1.0]",1.0,0.001,20.0,0.0,0.0,"[0.5, 0.5, -0.5, -0.5, -0.5, 0.5, 0.5, -0.5]","[0.07071067811865475, 0.07071067811865475, -0.07071067811865475, -0.07071067811865475, -0.07071067811865475, 0.07071067811865475, 0.07071067811865475, -0.07071067811865475]",Unknown,-1.0000,-1,false,"breathing_square_L0,periodic_orbit",period=0.223000;E=-2.554071;floquet_mag=-1.000000
F1b_outbreath_s1.00_v0.30,5,breathing_square_L0,F1b_outbreath_s1.00_v0.30,4,2,"[1.0,1.0,1.0,1.0]","[1.0,1.0,-1.0,-1.0]",1.0,0.001,20.0,0.0,0.0,"[0.5, 0.5, -0.5, -0.5, -0.5, 0.5, 0.5, -0.5]","[0.21213203435596423, 0.21213203435596423, -0.21213203435596423, -0.21213203435596423, -0.21213203435596423, 0.21213203435596423, 0.21213203435596423, -0.21213203435596423]",Unknown,-1.0000,-1,false,"breathing_square_L0,periodic_orbit",period=0.779000;E=-2.300345;floquet_mag=-1.000000
