E,charge_type,star_shaped,center_r,frac_monotone,frac_single_cross
-10.000000,unlike,true,0.003783,1.0000,1.0000
-9.796939,unlike,true,0.003862,1.0000,1.0000
-9.593878,unlike,true,0.003943,1.0000,1.0000
-9.390816,unlike,true,0.004029,1.0000,1.0000
-9.187755,unlike,true,0.004118,1.0000,1.0000
-8.984694,unlike,true,0.004356,1.0000,1.0000
-8.781633,unlike,true,0.004456,1.0000,1.0000
-8.578571,unlike,true,0.004410,1.0000,1.0000
-8.375510,unlike,true,0.004672,1.0000,1.0000
-8.172449,unlike,true,0.004788,1.0000,1.0000
-7.969388,unlike,true,0.004910,1.0000,1.0000
-7.766327,unlike,true,0.005039,1.0000,1.0000
-7.563265,unlike,true,0.005174,1.0000,1.0000
-7.360204,unlike,true,0.005317,1.0000,1.0000
-7.157143,unlike,true,0.005468,1.0000,1.0000
-6.954082,unlike,true,0.005627,1.0000,1.0000
-6.751020,unlike,true,0.005612,1.0000,1.0000
-6.547959,unlike,true,0.005976,1.0000,1.0000
-6.344898,unlike,true,0.002579,1.0000,1.0000
-6.141837,unlike,true,0.002664,1.0000,1.0000
-5.938776,unlike,true,0.012602,1.0000,1.0000
-5.735714,unlike,true,0.013049,1.0000,1.0000
-5.532653,unlike,true,0.007073,0.9875,1.0000
-5.329592,unlike,true,0.007343,0.9875,1.0000
-5.126531,unlike,true,0.008482,1.0000,1.0000
-4.923469,unlike,false,0.176118,0.7250,1.0000
-4.720408,unlike,false,0.183694,0.7250,1.0000
-4.517347,unlike,true,0.007937,0.9875,1.0000
-4.314286,unlike,true,0.008310,0.9875,1.0000
-4.111224,unlike,true,0.014914,1.0000,1.0000
-3.908163,unlike,true,0.007873,1.0000,1.0000
-3.705102,unlike,true,0.016549,1.0000,1.0000
-3.502041,unlike,true,0.008786,1.0000,1.0000
-3.298980,unlike,true,0.009327,1.0000,1.0000
-3.095918,unlike,false,0.022111,0.8875,1.0000
-2.892857,unlike,false,0.023663,0.8875,1.0000
-2.689796,unlike,false,0.025450,0.8625,1.0000
-2.486735,unlike,false,0.166944,0.7250,1.0000
-2.283673,unlike,false,0.181788,0.7250,1.0000
-2.080612,unlike,false,0.199530,0.7250,1.0000
-1.877551,unlike,false,0.221110,0.7250,1.0000
-1.674490,unlike,false,0.294347,0.6625,1.0000
-1.471429,unlike,false,0.387006,0.6500,1.0000
-1.268367,unlike,false,0.138520,0.6500,1.0000
-1.065306,unlike,false,0.462667,0.6375,1.0000
-0.862245,unlike,false,0.902576,0.6500,1.0000
-0.659184,unlike,false,1.342497,0.6125,1.0000
-0.456122,unlike,false,0.635683,0.7000,1.0000
-0.253061,unlike,false,1.145766,0.6875,1.0000
-0.050000,unlike,false,5.798981,0.6750,1.0000
0.050000,like_supercrit,false,22.147656,0.1100,0.9300
0.059184,like_supercrit,false,20.131751,0.1200,0.9100
0.068367,like_supercrit,false,17.011523,0.1000,0.8800
0.077551,like_supercrit,false,15.271155,0.0800,0.8800
0.086735,like_supercrit,false,13.869144,0.0500,0.8900
0.095918,like_supercrit,false,12.765373,0.0500,0.8800
0.105102,like_supercrit,false,13.318960,0.0600,0.8400
0.114286,like_supercrit,false,11.591546,0.0600,0.8100
0.123469,like_supercrit,false,11.217059,0.0600,0.8100
0.132653,like_supercrit,false,8.538462,0.0200,0.6950
0.141837,like_supercrit,false,8.050360,0.0200,0.6900
0.151020,like_supercrit,false,10.552019,0.0600,0.8500
0.160204,like_supercrit,false,7.242038,0.0200,0.6900
0.169388,like_supercrit,false,8.798593,0.0200,0.8800
0.178571,like_supercrit,false,9.530687,0.0500,0.8700
0.187755,like_supercrit,false,6.326087,0.0150,0.6900
0.196939,like_supercrit,false,8.734193,0.0500,0.8700
0.206122,like_supercrit,false,8.509019,0.0500,0.8700
0.215306,like_supercrit,false,8.303104,0.0500,0.8700
0.224490,like_supercrit,false,9.001998,0.0500,0.8900
0.233673,like_supercrit,false,8.827699,0.0500,0.9000
0.242857,like_supercrit,false,8.666610,0.0500,0.9100
0.252041,like_supercrit,false,8.517285,0.0500,0.9100
0.261224,like_supercrit,false,8.378482,0.0500,0.9200
0.270408,like_supercrit,false,8.249129,0.0400,0.9300
0.279592,like_supercrit,false,8.128292,0.0300,0.9300
0.288776,like_supercrit,false,8.286107,0.0300,0.9100
0.297959,like_supercrit,false,8.179419,0.0300,0.9100
0.307143,like_supercrit,false,6.429306,0.0200,0.9000
0.316327,like_supercrit,false,6.334826,0.0200,0.9000
0.325510,like_supercrit,false,6.245679,0.0200,0.9000
0.334694,like_supercrit,false,6.161426,0.0200,0.9100
0.343878,like_supercrit,false,6.081673,0.0200,0.9100
0.353061,like_supercrit,false,6.006071,0.0200,0.9200
0.362245,like_supercrit,false,5.934302,0.0200,0.9200
0.371429,like_supercrit,false,6.757729,0.0200,0.9300
0.380612,like_supercrit,false,6.692795,0.0200,0.9300
0.389796,like_supercrit,false,6.630921,0.0200,0.9300
0.398980,like_supercrit,false,5.680277,0.0200,0.9300
0.408163,like_supercrit,false,5.623916,0.0200,0.9300
0.417347,like_supercrit,false,5.570037,0.0200,0.9300
0.426531,like_supercrit,false,5.518479,0.0200,0.9300
0.435714,like_supercrit,false,5.469094,0.0200,0.9300
0.444898,like_supercrit,false,5.421749,0.0200,0.9300
0.454082,like_supercrit,false,5.376320,0.0200,0.9300
0.463265,like_supercrit,false,5.332692,0.0200,0.9300
0.472449,like_supercrit,false,5.290760,0.0200,0.9300
0.481633,like_supercrit,false,5.250429,0.0200,0.9300
0.490816,like_supercrit,false,5.211606,0.0200,0.9300
0.500000,like_supercrit,false,5.184204,0.0200,0.9300
