orbit_id,n_particles,energy,period,cz_index,cz_index_upper,stability_type,notes
breathing_square_F1b,4,-0.6460,11.7800,14,21,strongly_hyperbolic,"max|λ|≈228.6; D₄×T brake orbit; CZ=14 (Krein loxo) or 21 (Krein ell)"
kepler_circular_E-0.25,2,-0.2500,17.7715,3,3,degenerate_elliptic,"Kepler limit c=∞; ν=1.0; a=2.0000"
kepler_circular_E-0.50,2,-0.5000,6.2832,3,3,degenerate_elliptic,"Kepler limit c=∞; ν=1.0; a=1.0000"
kepler_circular_E-1.00,2,-1.0000,2.2214,3,3,degenerate_elliptic,"Kepler limit c=∞; ν=1.0; a=0.5000"
kepler_circular_E-2.00,2,-2.0000,0.7854,3,3,degenerate_elliptic,"Kepler limit c=∞; ν=1.0; a=0.2500"
kepler_circular_E-5.00,2,-5.0000,0.1987,3,3,degenerate_elliptic,"Kepler limit c=∞; ν=1.0; a=0.1000"
weber_circular_c1_E-0.25,2,-0.2500,17.7715,3,3,elliptic,"Weber circular, a=2.0000, ν=1.500000, δν=-5.00e-01"
weber_circular_c1_E-0.50,2,-0.5000,6.2832,5,5,elliptic_higher_winding,"Weber circular, a=1.0000, ν=2.000000, δν=-1.00e+00"
weber_circular_c1_E-1.00,2,-1.0000,2.2214,7,7,elliptic_higher_winding,"Weber circular, a=0.5000, ν=3.000000, δν=-2.00e+00"
weber_circular_c1_E-2.00,2,-2.0000,0.7854,11,11,elliptic_higher_winding,"Weber circular, a=0.2500, ν=5.000000, δν=-4.00e+00"
weber_circular_c1_E-5.00,2,-5.0000,0.1987,23,23,elliptic_higher_winding,"Weber circular, a=0.1000, ν=11.000000, δν=-1.00e+01"
square_RE_formal,4,-2.5860,9.2933,-999,-999,unstable_RE,"Formal RE; real eigenval ±1.0263 + Krein quad; CZ undefined (degenerate)"
predicted_breathing_2body,2,-0.5000,NaN,3,3,predicted_elliptic,"RFH degree-0 generator; continuation of Kepler circular; conj C2"
predicted_linking_orbit,4,NaN,NaN,5,7,predicted,"RFH degree-2 generator; linking-class orbit; conj C3; supercritical region"
