id,n_particles,dims,period,energy,c,mismatch,max_floquet,cz_index,cz_upper,stability_type,converged,newton_iters,q0,p0,notes
circ_E-0.10,2,2,49.672941,-0.100000,1.0000,1.087e-12,1.000000,3,3,elliptic,true,2,-2.4999999986;0.0000000607;2.4999999986;-0.0000000607,-0.0000000077;-0.3162277656;0.0000000077;0.3162277656,
circ_E-0.25,2,2,12.566371,-0.250000,1.0000,1.498e-12,1.000002,2,2,elliptic,true,2,-0.9999999913;0.0000002628;0.9999999913;-0.0000002628,-0.0000001314;-0.4999999905;0.0000001314;0.4999999905,
circ_E-0.50,2,2,4.442883,-0.500000,1.0000,2.823e-13,1.001091,2,2,elliptic,true,3,-0.4999999653;0.0000010603;0.4999999653;-0.0000012821,-0.0000016563;-0.7071066732;0.0000016563;0.7071066732,
circ_E-1.00,2,2,1.570796,-1.000004,1.0000,1.106e-12,1.000065,2,2,elliptic,true,5,-0.2402586009;0.0000040642;0.2597411214;-0.0000031449,-0.0000144182;-0.9999987780;0.0000144182;0.9999987780,
pert_E-0.25_dr0.05_Tf1.10,2,2,13.823008,-0.234609,1.0000,1.188e-09,1.000172,1,1,elliptic,true,9,-0.9605272636;0.3445378099;1.0581865130;-0.3387097149,-0.1552835280;-0.4587985846;0.1552835280;0.4587985846,
pert_E-0.25_dr0.05_Tf1.20,2,2,15.079645,-0.221387,1.0000,8.213e-10,1.000581,3,3,elliptic,true,8,-1.1617112165;0.0520586042;1.0904945668;-0.1162572499,-0.0350658029;-0.4692095373;0.0350658029;0.4692095373,
pert_E-0.25_dr0.10_Tf1.50,2,2,18.849556,-0.190786,1.0000,1.398e-10,1.001903,2,2,elliptic,true,8,-1.3592067104;0.2959436210;1.2615141503;0.2855699829,-0.0017289397;-0.4367868096;0.0017289397;0.4367868096,
pert_E-0.25_dr0.20_Tf2.00,2,2,25.132741,-0.157490,1.0000,3.728e-09,1.001585,2,2,elliptic,true,9,-1.5774571364;0.5141213562;1.5875775891;0.2652768734,-0.0311055603;-0.3956293404;0.0311055603;0.3956293404,
pert_E-0.50_dr0.05_Tf1.10,2,2,4.887171,-0.469218,1.0000,3.395e-07,1.000000,3,3,elliptic,true,10,-0.4329540499;0.3070801210;0.5048564265;-0.1989036771,-0.3252587037;-0.6028474046;0.3252587037;0.6028474046,
pert_E-0.50_dr0.05_Tf1.20,2,2,5.331460,-0.442774,1.0000,3.112e-13,1.000074,2,2,elliptic,true,7,-0.5630315649;0.0932886759;0.5658170266;0.1231401366,0.0175901416;-0.6651804020;-0.0175901416;0.6651804020,
pert_E-0.50_dr0.10_Tf1.50,2,2,6.664324,-0.381571,1.0000,5.312e-13,1.000969,3,3,elliptic,true,9,-0.6798235825;-0.0215981191;0.6289477509;-0.0863200950,-0.0305102318;-0.6169607175;0.0305102318;0.6169607175,
