config,param1,param2,param3,retcode,t_final,omega1,omega2,D1,D2
rhombus,1.400,1.300,0.700,Success,200.0000,9.44844928e-03,9.50471888e-03,1.79752358e-06,2.22695428e-06
rhombus,1.400,1.300,0.750,Failure,82.7175,2.27399086e-02,2.31620178e-02,4.99821126e-05,4.90706166e-05
rhombus,1.400,1.300,0.800,Success,200.0000,9.47668742e-03,9.47069618e-03,1.35836350e-06,1.45707971e-06
rhombus,1.400,1.400,0.700,Success,200.0000,3.27747728e-02,3.27742423e-02,2.36704482e-06,1.90358444e-05
rhombus,1.400,1.400,0.750,Success,200.0000,2.45185112e-02,2.45193402e-02,1.39722761e-05,3.92216495e-06
rhombus,1.400,1.400,0.800,Success,200.0000,1.76035016e-02,1.76035016e-02,1.21403269e-05,2.83123177e-05
rhombus,1.400,1.450,0.700,Success,200.0000,9.47071183e-03,9.48192522e-03,1.78769898e-06,1.54837691e-06
rhombus,1.400,1.450,0.750,Success,200.0000,9.48580563e-03,9.46360380e-03,3.92691009e-05,4.67233374e-06
rhombus,1.400,1.450,0.800,Success,200.0000,9.49293898e-03,9.46093179e-03,8.20114390e-05,2.04756447e-06
rhombus,1.400,1.500,0.700,Success,200.0000,9.48451152e-03,9.47389347e-03,4.20531308e-07,7.59380877e-07
rhombus,1.400,1.500,0.750,Success,200.0000,9.47715737e-03,9.47018208e-03,1.22211871e-06,2.70901336e-06
rhombus,1.400,1.500,0.800,Success,200.0000,9.48248190e-03,9.46462729e-03,3.86503329e-06,3.60819086e-06
rhombus,1.450,1.300,0.700,Success,200.0000,9.48708323e-03,9.46229621e-03,8.79692744e-07,8.99240664e-07
rhombus,1.450,1.300,0.750,Failure,161.4035,1.17429259e-02,1.17485227e-02,6.75352957e-05,3.30280541e-06
rhombus,1.450,1.300,0.800,Success,200.0000,9.47727212e-03,9.47651490e-03,3.06577533e-06,2.76225114e-06
rhombus,1.450,1.400,0.700,Success,200.0000,9.48200658e-03,9.47022907e-03,1.19708563e-06,9.83325522e-07
rhombus,1.450,1.400,0.750,Success,200.0000,9.46360380e-03,9.48580560e-03,2.99988994e-05,3.92786285e-05
rhombus,1.450,1.400,0.800,Success,200.0000,9.46093179e-03,9.49293898e-03,1.80701732e-06,8.16801148e-05
rhombus,1.450,1.450,0.700,Success,200.0000,3.09782341e-02,3.10520455e-02,8.34920231e-06,7.19908474e-06
rhombus,1.450,1.450,0.750,Success,200.0000,2.32753096e-02,2.32749716e-02,3.96938378e-06,2.39404026e-06
rhombus,1.450,1.450,0.800,Success,200.0000,1.66344453e-02,1.66344453e-02,4.63997636e-05,3.24321925e-05
rhombus,1.450,1.500,0.700,Success,200.0000,9.47481156e-03,9.47725770e-03,2.97106093e-06,4.12531144e-05
rhombus,1.450,1.500,0.750,Success,200.0000,9.47338320e-03,9.48050222e-03,2.61437365e-05,5.12901266e-06
