config,param1,param2,param3,retcode,t_final,n_crossings,classification,drift_pct
rhombus,1.30,1.20,0.60,Success,200.0000,0,sparse,3.565256e-02
rhombus,1.30,1.20,0.70,Success,200.0000,0,sparse,8.519240e-03
rhombus,1.30,1.20,0.75,Success,200.0000,0,sparse,1.834797e-02
rhombus,1.30,1.20,0.80,Failure,172.5360,0,sparse,1.012432e-01
rhombus,1.30,1.30,0.60,Success,200.0000,2,sparse,2.634967e-02
rhombus,1.30,1.30,0.70,Success,200.0000,3,sparse,1.454754e-03
rhombus,1.30,1.30,0.75,Success,200.0000,4,sparse,1.704350e-02
rhombus,1.30,1.30,0.80,Success,200.0000,3,sparse,7.544125e-03
rhombus,1.30,1.40,0.60,Success,200.0000,4,sparse,4.501930e-03
rhombus,1.30,1.40,0.70,Success,200.0000,9,sparse,2.298899e-02
rhombus,1.30,1.40,0.75,Failure,169.8425,0,sparse,1.155116e-01
rhombus,1.30,1.40,0.80,Success,200.0000,0,sparse,9.923580e-05
rhombus,1.30,1.45,0.60,Success,200.0000,4,sparse,4.178693e-03
rhombus,1.30,1.45,0.70,Success,200.0000,0,sparse,8.901125e-03
rhombus,1.30,1.45,0.75,Success,200.0000,0,sparse,6.126305e-02
rhombus,1.30,1.45,0.80,Success,200.0000,0,sparse,5.639902e-04
rhombus,1.30,1.50,0.60,Success,200.0000,9,sparse,4.706709e-03
rhombus,1.30,1.50,0.70,Success,200.0000,0,sparse,3.381819e-03
rhombus,1.30,1.50,0.75,Success,200.0000,0,sparse,2.380657e-02
rhombus,1.30,1.50,0.80,Failure,76.3235,0,sparse,2.471867e-01
rhombus,1.30,1.60,0.60,Success,200.0000,0,sparse,5.135168e-03
rhombus,1.30,1.60,0.70,Failure,125.2035,0,sparse,5.886042e-02
rhombus,1.30,1.60,0.75,Success,200.0000,0,sparse,6.347206e-03
rhombus,1.30,1.60,0.80,Success,200.0000,0,sparse,4.197461e-02
rhombus,1.40,1.20,0.60,Failure,175.2470,0,sparse,6.840164e-02
rhombus,1.40,1.20,0.70,Success,200.0000,0,sparse,4.920935e-03
rhombus,1.40,1.20,0.75,Success,200.0000,0,sparse,4.545172e-03
rhombus,1.40,1.20,0.80,Success,200.0000,0,sparse,5.757490e-03
rhombus,1.40,1.30,0.60,Success,200.0000,0,sparse,2.059093e-02
rhombus,1.40,1.30,0.70,Success,200.0000,0,sparse,2.298899e-02
rhombus,1.40,1.30,0.75,Failure,82.7175,0,sparse,2.709309e-01
rhombus,1.40,1.30,0.80,Success,200.0000,0,sparse,9.923579e-05
rhombus,1.40,1.40,0.60,Success,200.0000,4,sparse,9.291485e-03
rhombus,1.40,1.40,0.70,Success,200.0000,3,sparse,4.108341e-03
rhombus,1.40,1.40,0.75,Success,200.0000,3,sparse,3.691170e-04
rhombus,1.40,1.40,0.80,Success,200.0000,3,sparse,4.136681e-04
rhombus,1.40,1.45,0.60,Success,200.0000,2,sparse,6.518044e-03
rhombus,1.40,1.45,0.70,Success,200.0000,3,sparse,1.352375e-04
rhombus,1.40,1.45,0.75,Success,200.0000,4,sparse,7.934772e-05
rhombus,1.40,1.45,0.80,Success,200.0000,7,sparse,6.579966e-05
rhombus,1.40,1.50,0.60,Success,200.0000,1,sparse,4.627486e-03
rhombus,1.40,1.50,0.70,Success,200.0000,6,sparse,9.947001e-04
rhombus,1.40,1.50,0.75,Success,200.0000,0,sparse,6.301688e-05
rhombus,1.40,1.50,0.80,Success,200.0000,0,sparse,4.281875e-05
rhombus,1.40,1.60,0.60,Success,200.0000,4,sparse,3.778167e-03
rhombus,1.40,1.60,0.70,Failure,172.8845,0,sparse,6.121237e-02
rhombus,1.40,1.60,0.75,Success,200.0000,0,sparse,3.789287e-04
rhombus,1.40,1.60,0.80,Success,200.0000,0,sparse,5.698937e-05
rhombus,1.50,1.20,0.60,Failure,58.7755,0,sparse,8.854949e-02
rhombus,1.50,1.20,0.70,Success,200.0000,0,sparse,8.511565e-03
rhombus,1.50,1.20,0.75,Success,200.0000,0,sparse,9.951009e-03
rhombus,1.50,1.20,0.80,Success,200.0000,0,sparse,1.237015e-02
rhombus,1.50,1.30,0.60,Success,200.0000,0,sparse,4.706709e-03
rhombus,1.50,1.30,0.70,Success,200.0000,0,sparse,3.381819e-03
rhombus,1.50,1.30,0.75,Success,200.0000,0,sparse,2.380657e-02
rhombus,1.50,1.30,0.80,Failure,77.6600,0,sparse,2.371984e-01
rhombus,1.50,1.40,0.60,Success,200.0000,0,sparse,4.627486e-03
rhombus,1.50,1.40,0.70,Success,200.0000,0,sparse,9.947001e-04
rhombus,1.50,1.40,0.75,Success,200.0000,0,sparse,6.301688e-05
rhombus,1.50,1.40,0.80,Success,200.0000,0,sparse,4.281876e-05
rhombus,1.50,1.45,0.60,Success,200.0000,0,sparse,1.396757e-02
rhombus,1.50,1.45,0.70,Success,200.0000,0,sparse,9.633827e-05
rhombus,1.50,1.45,0.75,Success,200.0000,0,sparse,6.810648e-05
