t_center,omega1,omega2
9.99975000e+00,4.70868141e-02,4.70868141e-02
2.99997500e+01,4.50673531e-02,4.50673531e-02
4.99997500e+01,4.97259758e-02,4.97259758e-02
6.99997500e+01,3.18140564e-02,3.18140573e-02
8.99997500e+01,3.46549798e-02,3.46607895e-02
1.09999750e+02,3.90574652e-02,3.87231193e-02
1.29999750e+02,5.26660770e-02,4.95275411e-02
1.49999750e+02,4.50794576e-02,5.22789183e-02
1.69999750e+02,4.91710181e-02,4.48466601e-02
1.89999750e+02,4.38099535e-02,4.99578860e-02
2.09999750e+02,4.75676908e-02,4.73139735e-02
2.29999750e+02,5.11296242e-02,4.69517961e-02
2.49999750e+02,4.51662378e-02,4.75891175e-02
2.69999750e+02,3.96485500e-02,4.92870864e-02
2.89999750e+02,4.84848397e-02,4.56485471e-02
