orbit_id,agent_source,n_particles,dims,charges,masses,c,energy,period,cz_index,stability_type,classification,survival_time,energy_drift,notes
circ_E-0.10,05+11,2,2,"+1/-1","1/1",1.0,-0.10,49.673,3,elliptic,periodic,inf,1.1e-12,Exact Weber solution (rdot=0); Newton-converged
circ_E-0.25,05+11,2,2,"+1/-1","1/1",1.0,-0.25,12.566,2,elliptic,periodic,inf,1.5e-12,Exact Weber solution (rdot=0); Newton-converged
circ_E-0.50,05+11,2,2,"+1/-1","1/1",1.0,-0.50,4.443,2,elliptic,periodic,inf,2.8e-13,Exact Weber solution (rdot=0); Newton-converged
circ_E-1.00,05+11,2,2,"+1/-1","1/1",1.0,-1.00,1.571,2,elliptic,periodic,inf,1.1e-12,Exact Weber solution (rdot=0); Newton-converged
pert_E-0.25_dr0.05_T1.10,11,2,2,"+1/-1","1/1",1.0,-0.235,13.823,1,elliptic,periodic,inf,1.2e-09,Non-circular Weber periodic orbit; Newton-converged
pert_E-0.25_dr0.05_T1.20,11,2,2,"+1/-1","1/1",1.0,-0.221,15.080,3,elliptic,periodic,inf,8.2e-10,Non-circular Weber periodic orbit; Newton-converged
pert_E-0.25_dr0.10_T1.50,11,2,2,"+1/-1","1/1",1.0,-0.191,18.850,2,elliptic,periodic,inf,1.4e-10,Non-circular Weber periodic orbit; Newton-converged
pert_E-0.25_dr0.20_T2.00,11,2,2,"+1/-1","1/1",1.0,-0.157,25.133,2,elliptic,periodic,inf,3.7e-09,Non-circular Weber periodic orbit; Newton-converged
pert_E-0.50_dr0.05_T1.10,11,2,2,"+1/-1","1/1",1.0,-0.469,4.887,3,elliptic,periodic,inf,3.4e-07,Non-circular Weber periodic orbit; Newton-converged
pert_E-0.50_dr0.05_T1.20,11,2,2,"+1/-1","1/1",1.0,-0.443,5.331,2,elliptic,periodic,inf,3.1e-13,Non-circular Weber periodic orbit; Newton-converged
pert_E-0.50_dr0.10_T1.50,11,2,2,"+1/-1","1/1",1.0,-0.382,6.664,3,elliptic,periodic,inf,5.3e-13,Non-circular Weber periodic orbit; Newton-converged
pert_E-0.50_dr0.20_T2.00,11,2,2,"+1/-1","1/1",1.0,-0.315,8.886,1,elliptic,periodic,inf,1.8e-12,Non-circular Weber periodic orbit; Newton-converged
ccont_circ_E-0.25,11+13,2,2,"+1/-1","1/1",0.5-100,-0.25,12.566,2-3,elliptic,periodic,inf,<6e-11,Circular orbit stable at ALL c; 8 c-values tracked
ccont_circ_E-0.50,11+13,2,2,"+1/-1","1/1",0.5-100,-0.50,4.443,2-3,elliptic,periodic,inf,<5e-10,Circular orbit stable at ALL c; 8 c-values tracked
ccont_circ_E-1.00,11+13,2,2,"+1/-1","1/1",0.5-100,-1.00,1.571,1-2,elliptic,periodic,inf,<5e-09,Circular orbit stable at ALL c; 8 c-values tracked
