# Two-body Weber reference run
# m1=1.0  m2=1.0  q1=1.0  q2=-1.0  c=4.0
# q0=[-1.0, 0.0, 1.0, 0.0]
# p0=[0.0, -0.25, 0.0, 0.25]
# tspan=(0.0, 27.14080941082802)  (5 Kepler periods, T=5.428162)
# dt=1e-3  stride=10
# total Hamiltonian H = T + U with kinetic T and potential U components
t	H	T	U
0.0000000000e+00	-4.3750000000e-01	6.2500000000e-02	-5.0000000000e-01
1.0000000000e-02	-4.3750000000e-01	6.2504760802e-02	-5.0000476080e-01
2.0000000000e-02	-4.3750000000e-01	6.2519043925e-02	-5.0001904392e-01
3.0000000000e-02	-4.3750000000e-01	6.2542851523e-02	-5.0004285152e-01
4.0000000000e-02	-4.3750000000e-01	6.2576187189e-02	-5.0007618719e-01
5.0000000000e-02	-4.3750000000e-01	6.2619055952e-02	-5.0011905595e-01
6.0000000000e-02	-4.3750000000e-01	6.2671464282e-02	-5.0017146428e-01
7.0000000000e-02	-4.3750000000e-01	6.2733420094e-02	-5.0023342010e-01
8.0000000000e-02	-4.3750000000e-01	6.2804932748e-02	-5.0030493275e-01
9.0000000000e-02	-4.3750000000e-01	6.2886013054e-02	-5.0038601306e-01
1.0000000000e-01	-4.3750000001e-01	6.2976673278e-02	-5.0047667328e-01
1.1000000000e-01	-4.3750000001e-01	6.3076927143e-02	-5.0057692715e-01
1.2000000000e-01	-4.3750000001e-01	6.3186789841e-02	-5.0068678985e-01
1.3000000000e-01	-4.3750000001e-01	6.3306278031e-02	-5.0080627804e-01
1.4000000000e-01	-4.3750000001e-01	6.3435409854e-02	-5.0093540986e-01
1.5000000000e-01	-4.3750000001e-01	6.3574204933e-02	-5.0107420495e-01
1.6000000000e-01	-4.3750000001e-01	6.3722684387e-02	-5.0122268440e-01
1.7000000000e-01	-4.3750000002e-01	6.3880870836e-02	-5.0138087085e-01
1.8000000000e-01	-4.3750000002e-01	6.4048788411e-02	-5.0154878843e-01
1.9000000000e-01	-4.3750000002e-01	6.4226462765e-02	-5.0172646279e-01
2.0000000000e-01	-4.3750000002e-01	6.4413921082e-02	-5.0191392110e-01
2.1000000000e-01	-4.3750000003e-01	6.4611192090e-02	-5.0211119212e-01
2.2000000000e-01	-4.3750000003e-01	6.4818306071e-02	-5.0231830610e-01
2.3000000000e-01	-4.3750000003e-01	6.5035294874e-02	-5.0253529490e-01
2.4000000000e-01	-4.3750000003e-01	6.5262191930e-02	-5.0276219196e-01
2.5000000000e-01	-4.3750000004e-01	6.5499032263e-02	-5.0299903230e-01
2.6000000000e-01	-4.3750000004e-01	6.5745852507e-02	-5.0324585255e-01
2.7000000000e-01	-4.3750000004e-01	6.6002690920e-02	-5.0350269096e-01
2.8000000000e-01	-4.3750000004e-01	6.6269587401e-02	-5.0376958745e-01
2.9000000000e-01	-4.3750000005e-01	6.6546583504e-02	-5.0404658355e-01
3.0000000000e-01	-4.3750000005e-01	6.6833722462e-02	-5.0433372251e-01
3.1000000000e-01	-4.3750000005e-01	6.7131049198e-02	-5.0463104925e-01
3.2000000000e-01	-4.3750000006e-01	6.7438610347e-02	-5.0493861041e-01
