# Two-body Weber reference run
# m1=1.0  m2=1.0  q1=1.0  q2=-1.0  c=4.0
# q0=[-1.0, 0.0, 1.0, 0.0]
# p0=[0.0, -0.25, 0.0, 0.25]
# tspan=(0.0, 27.14080941082802)  (5 Kepler periods, T=5.428162)
# dt=1e-3  stride=10
# local error |E_t - E_{t-1}| and global error percent |(E_t - E_0)/E_0| * 100
t	local_err	global_err_percent
0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.0000000000e-02	5.6510351953e-14	1.2916651875e-11
2.0000000000e-02	1.6986412277e-13	5.1742737079e-11
3.0000000000e-02	2.8288482667e-13	1.1640212603e-10
4.0000000000e-02	3.9640513094e-13	2.0700901311e-10
5.0000000000e-02	5.0920379024e-13	3.2339845088e-10
6.0000000000e-02	6.2305716142e-13	4.6581151634e-10
7.0000000000e-02	7.3635542108e-13	6.3412132688e-10
8.0000000000e-02	8.4987572535e-13	8.2837863553e-10
9.0000000000e-02	9.6345154077e-13	1.0485961306e-09
1.0000000000e-01	1.0773049119e-12	1.2948372533e-09
1.1000000000e-01	1.1909362385e-12	1.5670512507e-09
1.2000000000e-01	1.3052336989e-12	1.8653903818e-09
1.3000000000e-01	1.4193646258e-12	2.1898165820e-09
1.4000000000e-01	1.5337731085e-12	2.5403932926e-09
1.5000000000e-01	1.6484036358e-12	2.9171712665e-09
1.6000000000e-01	1.7628121185e-12	3.3200997507e-09
1.7000000000e-01	1.8778312239e-12	3.7493183161e-09
1.8000000000e-01	1.9931833961e-12	4.2049030924e-09
1.9000000000e-01	2.1085910795e-12	4.6868667677e-09
2.0000000000e-01	2.2243318298e-12	5.1952854717e-09
2.1000000000e-01	2.3404611582e-12	5.7302480221e-09
2.2000000000e-01	2.4563129308e-12	6.2916909777e-09
2.3000000000e-01	2.5729418596e-12	6.8797919742e-09
2.4000000000e-01	2.6901258998e-12	7.4946778942e-09
2.5000000000e-01	2.8071434066e-12	8.1363106728e-09
2.6000000000e-01	2.9246605138e-12	8.8048045045e-09
2.7000000000e-01	3.0423996655e-12	9.5002101424e-09
2.8000000000e-01	3.1608049511e-12	1.0222679845e-08
2.9000000000e-01	3.2791547255e-12	1.0972200926e-08
3.0000000000e-01	3.3985037007e-12	1.1749001771e-08
3.1000000000e-01	3.5179081870e-12	1.2553095071e-08
