# Two-body Weber reference run
# m1=1.0  m2=1.0  q1=1.0  q2=-1.0  c=4.0
# q0=[-1.0, 0.0, 1.0, 0.0]
# p0=[0.0, -0.25, 0.0, 0.25]
# tspan=(0.0, 27.14080941082802)  (5 Kepler periods, T=5.428162)
# dt=1e-3  stride=10
# particle positions sampled every 10 steps
t	x1	y1	x2	y2
0.0000000000e+00	-1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00
1.0000000000e-02	-9.9998691402e-01	-2.4999891186e-03	9.9998691402e-01	2.4999891186e-03
2.0000000000e-02	-9.9994765564e-01	-4.9999128049e-03	9.9994765564e-01	4.9999128049e-03
3.0000000000e-02	-9.9988222347e-01	-7.4997056163e-03	9.9988222347e-01	7.4997056163e-03
4.0000000000e-02	-9.9979061521e-01	-9.9993020898e-03	9.9979061521e-01	9.9993020898e-03
5.0000000000e-02	-9.9967282766e-01	-1.2498636731e-02	9.9967282766e-01	1.2498636731e-02
6.0000000000e-02	-9.9952885668e-01	-1.4997644005e-02	9.9952885668e-01	1.4997644005e-02
7.0000000000e-02	-9.9935869721e-01	-1.7496258323e-02	9.9935869721e-01	1.7496258323e-02
8.0000000000e-02	-9.9916234328e-01	-1.9994414038e-02	9.9916234328e-01	1.9994414038e-02
9.0000000000e-02	-9.9893978799e-01	-2.2492045428e-02	9.9893978799e-01	2.2492045428e-02
1.0000000000e-01	-9.9869102351e-01	-2.4989086688e-02	9.9869102351e-01	2.4989086688e-02
1.1000000000e-01	-9.9841604111e-01	-2.7485471920e-02	9.9841604111e-01	2.7485471920e-02
1.2000000000e-01	-9.9811483111e-01	-2.9981135123e-02	9.9811483111e-01	2.9981135123e-02
1.3000000000e-01	-9.9778738289e-01	-3.2476010181e-02	9.9778738289e-01	3.2476010181e-02
1.4000000000e-01	-9.9743368494e-01	-3.4970030854e-02	9.9743368494e-01	3.4970030854e-02
1.5000000000e-01	-9.9705372479e-01	-3.7463130763e-02	9.9705372479e-01	3.7463130763e-02
1.6000000000e-01	-9.9664748903e-01	-3.9955243388e-02	9.9664748903e-01	3.9955243388e-02
1.7000000000e-01	-9.9621496333e-01	-4.2446302047e-02	9.9621496333e-01	4.2446302047e-02
1.8000000000e-01	-9.9575613240e-01	-4.4936239892e-02	9.9575613240e-01	4.4936239892e-02
1.9000000000e-01	-9.9527098003e-01	-4.7424989898e-02	9.9527098003e-01	4.7424989898e-02
2.0000000000e-01	-9.9475948904e-01	-4.9912484847e-02	9.9475948904e-01	4.9912484847e-02
2.1000000000e-01	-9.9422164132e-01	-5.2398657322e-02	9.9422164132e-01	5.2398657322e-02
2.2000000000e-01	-9.9365741779e-01	-5.4883439694e-02	9.9365741779e-01	5.4883439694e-02
2.3000000000e-01	-9.9306679843e-01	-5.7366764109e-02	9.9306679843e-01	5.7366764109e-02
2.4000000000e-01	-9.9244976225e-01	-5.9848562480e-02	9.9244976225e-01	5.9848562480e-02
2.5000000000e-01	-9.9180628728e-01	-6.2328766474e-02	9.9180628728e-01	6.2328766474e-02
2.6000000000e-01	-9.9113635063e-01	-6.4807307500e-02	9.9113635063e-01	6.4807307500e-02
2.7000000000e-01	-9.9043992837e-01	-6.7284116698e-02	9.9043992837e-01	6.7284116698e-02
2.8000000000e-01	-9.8971699565e-01	-6.9759124926e-02	9.8971699565e-01	6.9759124926e-02
2.9000000000e-01	-9.8896752660e-01	-7.2232262751e-02	9.8896752660e-01	7.2232262751e-02
3.0000000000e-01	-9.8819149438e-01	-7.4703460433e-02	9.8819149438e-01	7.4703460433e-02
3.1000000000e-01	-9.8738887115e-01	-7.7172647916e-02	9.8738887115e-01	7.7172647916e-02
3.2000000000e-01	-9.8655962809e-01	-7.9639754816e-02	9.8655962809e-01	7.9639754816e-02
3.3000000000e-01	-9.8570373534e-01	-8.2104710405e-02	9.8570373534e-01	8.2104710405e-02
3.4000000000e-01	-9.8482116205e-01	-8.4567443601e-02	9.8482116205e-01	8.4567443601e-02
3.5000000000e-01	-9.8391187638e-01	-8.7027882957e-02	9.8391187638e-01	8.7027882957e-02
3.6000000000e-01	-9.8297584542e-01	-8.9485956643e-02	9.8297584542e-01	8.9485956643e-02
3.7000000000e-01	-9.8201303526e-01	-9.1941592438e-02	9.8201303526e-01	9.1941592438e-02
3.8000000000e-01	-9.8102341095e-01	-9.4394717715e-02	9.8102341095e-01	9.4394717715e-02
3.9000000000e-01	-9.8000693649e-01	-9.6845259426e-02	9.8000693649e-01	9.6845259426e-02
4.0000000000e-01	-9.7896357485e-01	-9.9293144089e-02	9.7896357485e-01	9.9293144089e-02
4.1000000000e-01	-9.7789328792e-01	-1.0173829778e-01	9.7789328792e-01	1.0173829778e-01
4.2000000000e-01	-9.7679603654e-01	-1.0418064610e-01	9.7679603654e-01	1.0418064610e-01
4.3000000000e-01	-9.7567178047e-01	-1.0662011420e-01	9.7567178047e-01	1.0662011420e-01
4.4000000000e-01	-9.7452047840e-01	-1.0905662671e-01	9.7452047840e-01	1.0905662671e-01
4.5000000000e-01	-9.7334208791e-01	-1.1149010778e-01	9.7334208791e-01	1.1149010778e-01
4.6000000000e-01	-9.7213656551e-01	-1.1392048102e-01	9.7213656551e-01	1.1392048102e-01
4.7000000000e-01	-9.7090386658e-01	-1.1634766954e-01	9.7090386658e-01	1.1634766954e-01
4.8000000000e-01	-9.6964394540e-01	-1.1877159585e-01	9.6964394540e-01	1.1877159585e-01
4.9000000000e-01	-9.6835675512e-01	-1.2119218194e-01	9.6835675512e-01	1.2119218194e-01
5.0000000000e-01	-9.6704224775e-01	-1.2360934919e-01	9.6704224775e-01	1.2360934919e-01
5.1000000000e-01	-9.6570037417e-01	-1.2602301840e-01	9.6570037417e-01	1.2602301840e-01
5.2000000000e-01	-9.6433108409e-01	-1.2843310974e-01	9.6433108409e-01	1.2843310974e-01
5.3000000000e-01	-9.6293432605e-01	-1.3083954275e-01	9.6293432605e-01	1.3083954275e-01
5.4000000000e-01	-9.6151004744e-01	-1.3324223635e-01	9.6151004744e-01	1.3324223635e-01
5.5000000000e-01	-9.6005819445e-01	-1.3564110875e-01	9.6005819445e-01	1.3564110875e-01
5.6000000000e-01	-9.5857871205e-01	-1.3803607750e-01	9.5857871205e-01	1.3803607750e-01
5.7000000000e-01	-9.5707154403e-01	-1.4042705946e-01	9.5707154403e-01	1.4042705946e-01
5.8000000000e-01	-9.5553663294e-01	-1.4281397075e-01	9.5553663294e-01	1.4281397075e-01
5.9000000000e-01	-9.5397392011e-01	-1.4519672676e-01	9.5397392011e-01	1.4519672676e-01
6.0000000000e-01	-9.5238334561e-01	-1.4757524212e-01	9.5238334561e-01	1.4757524212e-01
6.1000000000e-01	-9.5076484825e-01	-1.4994943069e-01	9.5076484825e-01	1.4994943069e-01
6.2000000000e-01	-9.4911836558e-01	-1.5231920551e-01	9.4911836558e-01	1.5231920551e-01
6.3000000000e-01	-9.4744383384e-01	-1.5468447882e-01	9.4744383384e-01	1.5468447882e-01
6.4000000000e-01	-9.4574118799e-01	-1.5704516203e-01	9.4574118799e-01	1.5704516203e-01
6.5000000000e-01	-9.4401036166e-01	-1.5940116567e-01	9.4401036166e-01	1.5940116567e-01
6.6000000000e-01	-9.4225128717e-01	-1.6175239941e-01	9.4225128717e-01	1.6175239941e-01
6.7000000000e-01	-9.4046389546e-01	-1.6409877198e-01	9.4046389546e-01	1.6409877198e-01
6.8000000000e-01	-9.3864811614e-01	-1.6644019123e-01	9.3864811614e-01	1.6644019123e-01
6.9000000000e-01	-9.3680387743e-01	-1.6877656402e-01	9.3680387743e-01	1.6877656402e-01
7.0000000000e-01	-9.3493110616e-01	-1.7110779627e-01	9.3493110616e-01	1.7110779627e-01
7.1000000000e-01	-9.3302972774e-01	-1.7343379287e-01	9.3302972774e-01	1.7343379287e-01
7.2000000000e-01	-9.3109966617e-01	-1.7575445771e-01	9.3109966617e-01	1.7575445771e-01
7.3000000000e-01	-9.2914084399e-01	-1.7806969364e-01	9.2914084399e-01	1.7806969364e-01
7.4000000000e-01	-9.2715318229e-01	-1.8037940240e-01	9.2715318229e-01	1.8037940240e-01
7.5000000000e-01	-9.2513660066e-01	-1.8268348467e-01	9.2513660066e-01	1.8268348467e-01
7.6000000000e-01	-9.2309101722e-01	-1.8498183999e-01	9.2309101722e-01	1.8498183999e-01
7.7000000000e-01	-9.2101634853e-01	-1.8727436672e-01	9.2101634853e-01	1.8727436672e-01
7.8000000000e-01	-9.1891250965e-01	-1.8956096207e-01	9.1891250965e-01	1.8956096207e-01
7.9000000000e-01	-9.1677941405e-01	-1.9184152203e-01	9.1677941405e-01	1.9184152203e-01
8.0000000000e-01	-9.1461697364e-01	-1.9411594133e-01	9.1461697364e-01	1.9411594133e-01
8.1000000000e-01	-9.1242509871e-01	-1.9638411345e-01	9.1242509871e-01	1.9638411345e-01
8.2000000000e-01	-9.1020369794e-01	-1.9864593054e-01	9.1020369794e-01	1.9864593054e-01
8.3000000000e-01	-9.0795267836e-01	-2.0090128344e-01	9.0795267836e-01	2.0090128344e-01
8.4000000000e-01	-9.0567194532e-01	-2.0315006161e-01	9.0567194532e-01	2.0315006161e-01
8.5000000000e-01	-9.0336140250e-01	-2.0539215309e-01	9.0336140250e-01	2.0539215309e-01
8.6000000000e-01	-9.0102095182e-01	-2.0762744451e-01	9.0102095182e-01	2.0762744451e-01
8.7000000000e-01	-8.9865049351e-01	-2.0985582100e-01	8.9865049351e-01	2.0985582100e-01
8.8000000000e-01	-8.9624992599e-01	-2.1207716620e-01	8.9624992599e-01	2.1207716620e-01
8.9000000000e-01	-8.9381914591e-01	-2.1429136219e-01	8.9381914591e-01	2.1429136219e-01
9.0000000000e-01	-8.9135804809e-01	-2.1649828946e-01	8.9135804809e-01	2.1649828946e-01
9.1000000000e-01	-8.8886652549e-01	-2.1869782688e-01	8.8886652549e-01	2.1869782688e-01
9.2000000000e-01	-8.8634446922e-01	-2.2088985165e-01	8.8634446922e-01	2.2088985165e-01
9.3000000000e-01	-8.8379176847e-01	-2.2307423927e-01	8.8379176847e-01	2.2307423927e-01
9.4000000000e-01	-8.8120831049e-01	-2.2525086348e-01	8.8120831049e-01	2.2525086348e-01
9.5000000000e-01	-8.7859398057e-01	-2.2741959621e-01	8.7859398057e-01	2.2741959621e-01
9.6000000000e-01	-8.7594866200e-01	-2.2958030758e-01	8.7594866200e-01	2.2958030758e-01
9.7000000000e-01	-8.7327223606e-01	-2.3173286580e-01	8.7327223606e-01	2.3173286580e-01
9.8000000000e-01	-8.7056458194e-01	-2.3387713714e-01	8.7056458194e-01	2.3387713714e-01
9.9000000000e-01	-8.6782557676e-01	-2.3601298590e-01	8.6782557676e-01	2.3601298590e-01
1.0000000000e+00	-8.6505509550e-01	-2.3814027433e-01	8.6505509550e-01	2.3814027433e-01
1.0100000000e+00	-8.6225301098e-01	-2.4025886260e-01	8.6225301098e-01	2.4025886260e-01
1.0200000000e+00	-8.5941919381e-01	-2.4236860872e-01	8.5941919381e-01	2.4236860872e-01
1.0300000000e+00	-8.5655351237e-01	-2.4446936853e-01	8.5655351237e-01	2.4446936853e-01
1.0400000000e+00	-8.5365583278e-01	-2.4656099559e-01	8.5365583278e-01	2.4656099559e-01
1.0500000000e+00	-8.5072601882e-01	-2.4864334116e-01	8.5072601882e-01	2.4864334116e-01
1.0600000000e+00	-8.4776393193e-01	-2.5071625411e-01	8.4776393193e-01	2.5071625411e-01
1.0700000000e+00	-8.4476943115e-01	-2.5277958089e-01	8.4476943115e-01	2.5277958089e-01
1.0800000000e+00	-8.4174237309e-01	-2.5483316542e-01	8.4174237309e-01	2.5483316542e-01
1.0900000000e+00	-8.3868261186e-01	-2.5687684909e-01	8.3868261186e-01	2.5687684909e-01
1.1000000000e+00	-8.3558999906e-01	-2.5891047061e-01	8.3558999906e-01	2.5891047061e-01
1.1100000000e+00	-8.3246438373e-01	-2.6093386602e-01	8.3246438373e-01	2.6093386602e-01
1.1200000000e+00	-8.2930561226e-01	-2.6294686856e-01	8.2930561226e-01	2.6294686856e-01
1.1300000000e+00	-8.2611352841e-01	-2.6494930861e-01	8.2611352841e-01	2.6494930861e-01
1.1400000000e+00	-8.2288797320e-01	-2.6694101362e-01	8.2288797320e-01	2.6694101362e-01
1.1500000000e+00	-8.1962878489e-01	-2.6892180803e-01	8.1962878489e-01	2.6892180803e-01
1.1600000000e+00	-8.1633579892e-01	-2.7089151318e-01	8.1633579892e-01	2.7089151318e-01
1.1700000000e+00	-8.1300884787e-01	-2.7284994721e-01	8.1300884787e-01	2.7284994721e-01
1.1800000000e+00	-8.0964776139e-01	-2.7479692503e-01	8.0964776139e-01	2.7479692503e-01
1.1900000000e+00	-8.0625236613e-01	-2.7673225814e-01	8.0625236613e-01	2.7673225814e-01
1.2000000000e+00	-8.0282248572e-01	-2.7865575460e-01	8.0282248572e-01	2.7865575460e-01
1.2100000000e+00	-7.9935794068e-01	-2.8056721893e-01	7.9935794068e-01	2.8056721893e-01
1.2200000000e+00	-7.9585854838e-01	-2.8246645198e-01	7.9585854838e-01	2.8246645198e-01
1.2300000000e+00	-7.9232412295e-01	-2.8435325083e-01	7.9232412295e-01	2.8435325083e-01
1.2400000000e+00	-7.8875447524e-01	-2.8622740870e-01	7.8875447524e-01	2.8622740870e-01
1.2500000000e+00	-7.8514941275e-01	-2.8808871482e-01	7.8514941275e-01	2.8808871482e-01
1.2600000000e+00	-7.8150873954e-01	-2.8993695435e-01	7.8150873954e-01	2.8993695435e-01
1.2700000000e+00	-7.7783225619e-01	-2.9177190818e-01	7.7783225619e-01	2.9177190818e-01
1.2800000000e+00	-7.7411975970e-01	-2.9359335291e-01	7.7411975970e-01	2.9359335291e-01
1.2900000000e+00	-7.7037104346e-01	-2.9540106063e-01	7.7037104346e-01	2.9540106063e-01
1.3000000000e+00	-7.6658589712e-01	-2.9719479885e-01	7.6658589712e-01	2.9719479885e-01
1.3100000000e+00	-7.6276410652e-01	-2.9897433031e-01	7.6276410652e-01	2.9897433031e-01
1.3200000000e+00	-7.5890545367e-01	-3.0073941289e-01	7.5890545367e-01	3.0073941289e-01
1.3300000000e+00	-7.5500971657e-01	-3.0248979941e-01	7.5500971657e-01	3.0248979941e-01
1.3400000000e+00	-7.5107666921e-01	-3.0422523751e-01	7.5107666921e-01	3.0422523751e-01
1.3500000000e+00	-7.4710608145e-01	-3.0594546946e-01	7.4710608145e-01	3.0594546946e-01
