id,family,period,energy,max_floquet_mag,bound,drift_pct,q0,p0
F1a_pure_brake_s0.50,breathing_square_L0,-1.000000,-5.171573,-1.000000,false,-1.0000,0.25;0.25;-0.25;-0.25;-0.25;0.25;0.25;-0.25,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F1b_outbreath_s0.50_v0.10,breathing_square_L0,-1.000000,-5.128141,-1.000000,false,-1.0000,0.25;0.25;-0.25;-0.25;-0.25;0.25;0.25;-0.25,0.07071067811865475;0.07071067811865475;-0.07071067811865475;-0.07071067811865475;-0.07071067811865475;0.07071067811865475;0.07071067811865475;-0.07071067811865475
F1b_outbreath_s0.50_v0.30,breathing_square_L0,0.185000,-4.780690,-1.000000,false,-1.0000,0.25;0.25;-0.25;-0.25;-0.25;0.25;0.25;-0.25,0.21213203435596423;0.21213203435596423;-0.21213203435596423;-0.21213203435596423;-0.21213203435596423;0.21213203435596423;0.21213203435596423;-0.21213203435596423
F1b_outbreath_s0.50_v0.40,breathing_square_L0,0.272000,-4.476670,-1.000000,false,-1.0000,0.25;0.25;-0.25;-0.25;-0.25;0.25;0.25;-0.25,0.282842712474619;0.282842712474619;-0.282842712474619;-0.282842712474619;-0.282842712474619;0.282842712474619;0.282842712474619;-0.282842712474619
F1b_outbreath_s0.50_v0.50,breathing_square_L0,0.392000,-4.085786,-1.000000,false,-1.0000,0.25;0.25;-0.25;-0.25;-0.25;0.25;0.25;-0.25,0.35355339059327373;0.35355339059327373;-0.35355339059327373;-0.35355339059327373;-0.35355339059327373;0.35355339059327373;0.35355339059327373;-0.35355339059327373
F1b_outbreath_s0.50_v0.60,breathing_square_L0,0.569000,-3.608040,-1.000000,false,-1.0000,0.25;0.25;-0.25;-0.25;-0.25;0.25;0.25;-0.25,0.42426406871192845;0.42426406871192845;-0.42426406871192845;-0.42426406871192845;-0.42426406871192845;0.42426406871192845;0.42426406871192845;-0.42426406871192845
F1b_outbreath_s0.50_v0.70,breathing_square_L0,0.862000,-3.043431,-1.000000,false,-1.0000,0.25;0.25;-0.25;-0.25;-0.25;0.25;0.25;-0.25,0.4949747468305832;0.4949747468305832;-0.4949747468305832;-0.4949747468305832;-0.4949747468305832;0.4949747468305832;0.4949747468305832;-0.4949747468305832
F1a_pure_brake_s1.00,breathing_square_L0,-1.000000,-2.585786,-1.000000,false,-1.0000,0.5;0.5;-0.5;-0.5;-0.5;0.5;0.5;-0.5,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F1b_outbreath_s1.00_v0.10,breathing_square_L0,0.223000,-2.554071,-1.000000,false,-1.0000,0.5;0.5;-0.5;-0.5;-0.5;0.5;0.5;-0.5,0.07071067811865475;0.07071067811865475;-0.07071067811865475;-0.07071067811865475;-0.07071067811865475;0.07071067811865475;0.07071067811865475;-0.07071067811865475
F1b_outbreath_s1.00_v0.30,breathing_square_L0,0.779000,-2.300345,-1.000000,false,-1.0000,0.5;0.5;-0.5;-0.5;-0.5;0.5;0.5;-0.5,0.21213203435596423;0.21213203435596423;-0.21213203435596423;-0.21213203435596423;-0.21213203435596423;0.21213203435596423;0.21213203435596423;-0.21213203435596423
