b,eta,retcode,t_final,E_drift_pct
1.0,0.6,Failure,25.279000000007912,14.927610945584593
1.0,0.7,Success,100.0,0.6549507208722953
1.0,0.75,Failure,11.791999999998904,135.50317839451665
1.0,0.8,Failure,16.065999999996652,85.20020165944474
1.0,0.85,Failure,21.5870000000034,25.77885453039668
1.1,0.6,Failure,8.28000000000085,14.43797407387314
1.1,0.7,Failure,36.61500000000537,1.3332645663045408
1.1,0.75,Success,100.0,0.2948390083071389
1.1,0.8,Success,100.0,0.18197468082328122
1.1,0.85,Success,100.0,0.12472262930970437
1.15,0.6,Failure,10.713999999999501,2.9300894044842405
1.15,0.7,Success,100.0,0.15967499718739214
1.15,0.75,Success,100.0,0.0757903279672215
1.15,0.8,Success,100.0,0.0390269545639702
1.15,0.85,Success,100.0,0.07094949815734754
1.2,0.6,Failure,27.60900000001076,0.32331267037999767
1.2,0.7,Success,100.0,0.03404155687430088
1.2,0.75,Success,100.0,0.041151078336068535
1.2,0.8,Success,100.0,0.029837302666144996
1.2,0.85,Success,100.0,0.03478860493499393
1.3,0.6,Success,100.0,0.018819789863261844
1.3,0.7,Success,100.0,0.01352662951076961
1.3,0.75,Success,100.0,0.09516566839020803
1.3,0.8,Failure,55.34699999996171,1.0177438611734422
1.3,0.85,Success,100.0,0.001052213992884342
1.45,0.6,Success,100.0,0.05580895930799072
1.45,0.7,Success,100.0,0.00038534909914260266
1.45,0.75,Success,100.0,0.00027242555867155864
1.45,0.8,Success,100.0,0.00024450944004084807
1.45,0.85,Success,100.0,0.00027635395575922487
