q1,q2,m1,m2,c,r0,L,E,bound,period,orbit_type,drift_pct,max_sep,min_sep,retcode,case_label
1.0000,-1.0000,1.00,1.00,1.00,100.00000000,0.0000,-0.010000,true,NaN,low_ecc_elliptic,0.000000,100.000000,71.722727,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,40.00000000,0.0000,-0.025000,true,NaN,high_ecc_elliptic,0.008782,40.000000,0.819825,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,20.00000000,0.0000,-0.050000,true,NaN,high_ecc_elliptic,0.053606,20.000000,0.479266,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,10.00000000,0.0000,-0.100000,true,NaN,high_ecc_elliptic,0.240088,10.000000,0.251788,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,4.00000000,0.0000,-0.250000,false,NaN,failed,NaN,4.000000,0.152471,Failure,unlike
1.0000,-1.0000,1.00,1.00,1.00,2.00000000,0.0000,-0.500000,false,NaN,failed,NaN,2.000000,0.154362,Failure,unlike
1.0000,-1.0000,1.00,1.00,1.00,1.00000000,0.0000,-1.000000,false,NaN,failed,NaN,1.000000,0.155077,Failure,unlike
1.0000,-1.0000,1.00,1.00,1.00,0.50000000,0.0000,-2.000000,false,NaN,failed,NaN,0.500000,0.107269,Failure,unlike
1.0000,-1.0000,1.00,1.00,1.00,99.98999900,0.1000,-0.010000,true,NaN,low_ecc_elliptic,0.000000,99.989999,71.712649,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,39.98999750,0.1000,-0.025000,false,NaN,failed,NaN,39.989997,0.416440,Failure,unlike
1.0000,-1.0000,1.00,1.00,1.00,19.98999499,0.1000,-0.050000,false,NaN,failed,NaN,19.989995,0.430715,Failure,unlike
1.0000,-1.0000,1.00,1.00,1.00,9.98998998,0.1000,-0.100000,false,NaN,failed,NaN,9.989990,0.291552,Failure,unlike
1.0000,-1.0000,1.00,1.00,1.00,3.98997487,0.1000,-0.250000,false,NaN,failed,NaN,3.989975,0.153383,Failure,unlike
1.0000,-1.0000,1.00,1.00,1.00,1.98994949,0.1000,-0.500000,false,NaN,failed,NaN,1.989949,0.174314,Failure,unlike
1.0000,-1.0000,1.00,1.00,1.00,0.98989795,0.1000,-1.000000,false,NaN,failed,NaN,0.989898,0.101600,Failure,unlike
1.0000,-1.0000,1.00,1.00,1.00,0.48979158,0.1000,-2.000000,false,NaN,failed,NaN,0.489792,0.130246,Failure,unlike
1.0000,-1.0000,1.00,1.00,1.00,99.93746089,0.2500,-0.010000,true,NaN,low_ecc_elliptic,0.000000,99.937461,71.659720,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,39.93740204,0.2500,-0.025000,false,NaN,failed,NaN,39.937402,1.065320,Failure,unlike
1.0000,-1.0000,1.00,1.00,1.00,19.93730346,0.2500,-0.050000,false,NaN,failed,NaN,19.937303,0.594787,Failure,unlike
1.0000,-1.0000,1.00,1.00,1.00,9.93710441,0.2500,-0.100000,false,NaN,failed,NaN,9.937104,0.155776,Failure,unlike
1.0000,-1.0000,1.00,1.00,1.00,3.93649167,0.2500,-0.250000,false,NaN,failed,NaN,3.936492,0.157313,Failure,unlike
1.0000,-1.0000,1.00,1.00,1.00,1.93541435,0.2500,-0.500000,false,NaN,failed,NaN,1.935414,0.113803,Failure,unlike
1.0000,-1.0000,1.00,1.00,1.00,0.93301270,0.2500,-1.000000,false,NaN,failed,NaN,0.933013,0.141639,Failure,unlike
1.0000,-1.0000,1.00,1.00,1.00,0.42677670,0.2500,-2.000000,false,NaN,failed,NaN,0.426777,0.092812,Failure,unlike
1.0000,-1.0000,1.00,1.00,1.00,99.74937186,0.5000,-0.010000,true,NaN,low_ecc_elliptic,0.000000,99.749372,71.470406,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,39.74841766,0.5000,-0.025000,false,NaN,unbound,10.868186,39.748418,0.360342,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,19.74679434,0.5000,-0.050000,false,NaN,unbound,5.224198,19.746794,0.299575,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,9.74341649,0.5000,-0.100000,false,NaN,unbound,2.358910,9.743416,0.257268,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,3.73205081,0.5000,-0.250000,true,NaN,high_ecc_elliptic,0.674375,3.732051,0.268131,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,1.70710678,0.5000,-0.500000,true,NaN,high_ecc_elliptic,0.172214,1.707107,0.293071,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,0.50000000,0.5000,-1.000000,true,NaN,circular,0.000002,0.500075,0.500000,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,98.98979486,1.0000,-0.010000,true,NaN,low_ecc_elliptic,0.000000,98.989795,70.708751,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,38.97366596,1.0000,-0.025000,true,NaN,high_ecc_elliptic,0.017659,38.973666,1.119685,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,18.94427191,1.0000,-0.050000,true,NaN,high_ecc_elliptic,0.007395,18.944272,1.055829,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,8.87298335,1.0000,-0.100000,true,NaN,high_ecc_elliptic,0.002479,8.872983,1.143773,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,2.00000000,1.0000,-0.250000,true,NaN,circular,0.000000,2.000005,2.000000,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,95.82575695,2.0000,-0.010000,true,NaN,low_ecc_elliptic,0.000000,95.825757,67.590551,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,35.49193338,2.0000,-0.025000,true,NaN,high_ecc_elliptic,0.000031,35.491933,4.511304,Success,unlike
1.0000,-1.0000,1.00,1.00,1.00,14.47213595,2.0000,-0.050000,true,NaN,moderate_ecc_elliptic,0.000006,14.472136,5.527868,Success,unlike
1.0000,-1.0000,1.00,1.00,2.00,100.00000000,0.0000,-0.010000,true,NaN,low_ecc_elliptic,0.000000,100.000000,72.238421,Success,unlike
1.0000,-1.0000,1.00,1.00,2.00,40.00000000,0.0000,-0.025000,true,NaN,high_ecc_elliptic,0.019177,40.000000,1.297759,Success,unlike
1.0000,-1.0000,1.00,1.00,2.00,20.00000000,0.0000,-0.050000,true,NaN,high_ecc_elliptic,0.111505,20.000000,0.559448,Success,unlike
1.0000,-1.0000,1.00,1.00,2.00,10.00000000,0.0000,-0.100000,true,NaN,high_ecc_elliptic,0.734067,10.000000,0.291145,Success,unlike
1.0000,-1.0000,1.00,1.00,2.00,4.00000000,0.0000,-0.250000,false,NaN,failed,NaN,4.000000,0.087309,Failure,unlike
1.0000,-1.0000,1.00,1.00,2.00,2.00000000,0.0000,-0.500000,false,NaN,failed,NaN,2.000000,0.064255,Failure,unlike
1.0000,-1.0000,1.00,1.00,2.00,1.00000000,0.0000,-1.000000,false,NaN,failed,NaN,1.000000,0.083251,Failure,unlike
1.0000,-1.0000,1.00,1.00,2.00,0.50000000,0.0000,-2.000000,false,NaN,failed,NaN,0.500000,0.072099,Failure,unlike
1.0000,-1.0000,1.00,1.00,2.00,99.98999900,0.1000,-0.010000,true,NaN,low_ecc_elliptic,0.000000,99.989999,72.228401,Success,unlike
1.0000,-1.0000,1.00,1.00,2.00,39.98999750,0.1000,-0.025000,false,NaN,failed,NaN,39.989997,0.513286,Failure,unlike
1.0000,-1.0000,1.00,1.00,2.00,19.98999499,0.1000,-0.050000,false,NaN,failed,NaN,19.989995,0.228019,Failure,unlike
1.0000,-1.0000,1.00,1.00,2.00,9.98998998,0.1000,-0.100000,false,NaN,failed,NaN,9.989990,0.081316,Failure,unlike
1.0000,-1.0000,1.00,1.00,2.00,3.98997487,0.1000,-0.250000,false,NaN,failed,NaN,3.989975,0.111190,Failure,unlike
1.0000,-1.0000,1.00,1.00,2.00,1.98994949,0.1000,-0.500000,false,NaN,failed,NaN,1.989949,0.098925,Failure,unlike
1.0000,-1.0000,1.00,1.00,2.00,0.98989795,0.1000,-1.000000,false,NaN,failed,NaN,0.989898,0.116426,Failure,unlike
1.0000,-1.0000,1.00,1.00,2.00,0.48979158,0.1000,-2.000000,false,NaN,failed,NaN,0.489792,0.084578,Failure,unlike
1.0000,-1.0000,1.00,1.00,2.00,99.93746089,0.2500,-0.010000,true,NaN,low_ecc_elliptic,0.000000,99.937461,72.175777,Success,unlike
1.0000,-1.0000,1.00,1.00,2.00,39.93740204,0.2500,-0.025000,false,NaN,failed,NaN,39.937402,0.417538,Failure,unlike
1.0000,-1.0000,1.00,1.00,2.00,19.93730346,0.2500,-0.050000,false,NaN,failed,NaN,19.937303,0.075478,Failure,unlike
