q1,q2,m1,m2,c,mu,rho,E_min_subcrit,L_values_and_hc
1.0,1.0,1.0,1.0,1.0,0.500000,2.000000,0.500000,L=0.00:hc=0.5000;L=0.10:hc=0.5025;L=0.50:hc=0.5625;L=1.00:hc=0.7500;L=2.00:hc=1.5000
1.0,1.0,1.0,1.0,2.0,0.500000,0.500000,2.000000,L=0.00:hc=2.0000;L=0.10:hc=2.0400;L=0.50:hc=3.0000;L=1.00:hc=6.0000;L=2.00:hc=18.0000
1.0,1.0,1.0,1.0,4.0,0.500000,0.125000,8.000000,L=0.00:hc=8.0000;L=0.10:hc=8.6400;L=0.50:hc=24.0000;L=1.00:hc=72.0000;L=2.00:hc=264.0000
1.0,1.0,1.0,1.0,10.0,0.500000,0.020000,50.000000,L=0.00:hc=50.0000;L=0.10:hc=75.0000;L=0.50:hc=675.0000;L=1.00:hc=2550.0000;L=2.00:hc=10050.0000
1.0,1.0,1.0,1.0,100.0,0.500000,0.000200,5000.000000,L=0.00:hc=5000.0000;L=0.10:hc=255000.0000;L=0.50:hc=6255000.0000;L=1.00:hc=25005000.0000;L=2.00:hc=100005000.0000
1.0,1.0,1.0,2.0,1.0,0.666667,1.500000,0.666667,L=0.00:hc=0.6667;L=0.10:hc=0.6700;L=0.50:hc=0.7500;L=1.00:hc=1.0000;L=2.00:hc=2.0000
1.0,1.0,1.0,2.0,2.0,0.666667,0.375000,2.666667,L=0.00:hc=2.6667;L=0.10:hc=2.7200;L=0.50:hc=4.0000;L=1.00:hc=8.0000;L=2.00:hc=24.0000
1.0,1.0,1.0,2.0,4.0,0.666667,0.093750,10.666667,L=0.00:hc=10.6667;L=0.10:hc=11.5200;L=0.50:hc=32.0000;L=1.00:hc=96.0000;L=2.00:hc=352.0000
1.0,1.0,1.0,2.0,10.0,0.666667,0.015000,66.666667,L=0.00:hc=66.6667;L=0.10:hc=100.0000;L=0.50:hc=900.0000;L=1.00:hc=3400.0000;L=2.00:hc=13400.0000
1.0,1.0,1.0,2.0,100.0,0.666667,0.000150,6666.666667,L=0.00:hc=6666.6667;L=0.10:hc=340000.0000;L=0.50:hc=8340000.0000;L=1.00:hc=33340000.0000;L=2.00:hc=133340000.0000
1.0,1.0,1.0,10.0,1.0,0.909091,1.100000,0.909091,L=0.00:hc=0.9091;L=0.10:hc=0.9136;L=0.50:hc=1.0227;L=1.00:hc=1.3636;L=2.00:hc=2.7273
1.0,1.0,1.0,10.0,2.0,0.909091,0.275000,3.636364,L=0.00:hc=3.6364;L=0.10:hc=3.7091;L=0.50:hc=5.4545;L=1.00:hc=10.9091;L=2.00:hc=32.7273
1.0,1.0,1.0,10.0,4.0,0.909091,0.068750,14.545455,L=0.00:hc=14.5455;L=0.10:hc=15.7091;L=0.50:hc=43.6364;L=1.00:hc=130.9091;L=2.00:hc=480.0000
1.0,1.0,1.0,10.0,10.0,0.909091,0.011000,90.909091,L=0.00:hc=90.9091;L=0.10:hc=136.3636;L=0.50:hc=1227.2727;L=1.00:hc=4636.3636;L=2.00:hc=18272.7273
1.0,1.0,1.0,10.0,100.0,0.909091,0.000110,9090.909091,L=0.00:hc=9090.9091;L=0.10:hc=463636.3636;L=0.50:hc=11372727.2727;L=1.00:hc=45463636.3636;L=2.00:hc=181827272.7273
1.0,1.0,1.0,100.0,1.0,0.990099,1.010000,0.990099,L=0.00:hc=0.9901;L=0.10:hc=0.9950;L=0.50:hc=1.1139;L=1.00:hc=1.4851;L=2.00:hc=2.9703
1.0,1.0,1.0,100.0,2.0,0.990099,0.252500,3.960396,L=0.00:hc=3.9604;L=0.10:hc=4.0396;L=0.50:hc=5.9406;L=1.00:hc=11.8812;L=2.00:hc=35.6436
1.0,1.0,1.0,100.0,4.0,0.990099,0.063125,15.841584,L=0.00:hc=15.8416;L=0.10:hc=17.1089;L=0.50:hc=47.5248;L=1.00:hc=142.5743;L=2.00:hc=522.7723
1.0,1.0,1.0,100.0,10.0,0.990099,0.010100,99.009901,L=0.00:hc=99.0099;L=0.10:hc=148.5149;L=0.50:hc=1336.6337;L=1.00:hc=5049.5050;L=2.00:hc=19900.9901
1.0,1.0,1.0,100.0,100.0,0.990099,0.000101,9900.990099,L=0.00:hc=9900.9901;L=0.10:hc=504950.4950;L=0.50:hc=12386138.6139;L=1.00:hc=49514851.4851;L=2.00:hc=198029702.9703
