case,q1,q2,m1,m2,c,L,r,V_eff,rho
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.050000,-20.00000000,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.150251,-6.65551839,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.250503,-3.99197593,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.350754,-2.85100287,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.451005,-2.21727019,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.551256,-1.81403829,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.651508,-1.53490166,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.751759,-1.33021390,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.852010,-1.17369508,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.952261,-1.05013193,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.052513,-0.95010742,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.152764,-0.86748038,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.253015,-0.79807499,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.353266,-0.73895284,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.453518,-0.68798617,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.553769,-0.64359638,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.654020,-0.60458757,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.754271,-0.57003724,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.854523,-0.53922233,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.954774,-0.51156812,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.055025,-0.48661206,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.155276,-0.46397762,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.255528,-0.44335524,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.355779,-0.42448805,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.456030,-0.40716113,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.556281,-0.39119324,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.656533,-0.37643053,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.756784,-0.36274152,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.857035,-0.35001319,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.957286,-0.33814783,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.057538,-0.32706056,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.157789,-0.31667728,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.258040,-0.30693298,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.358291,-0.29777046,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.458543,-0.28913912,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.558794,-0.28099407,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.659045,-0.27329534,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.759296,-0.26600722,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.859548,-0.25909771,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.959799,-0.25253807,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,4.060050,-0.24630237,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,4.160302,-0.24036719,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,4.260553,-0.23471133,-1.000000
