id,category,config,charges,masses,c,eta,side_or_sep,bounce_r,tmax,dt,retcode,n_steps,t_final,E_drift_pct,bound,max_r,min_r,brake_idx,brake_period,notes
1,2+1-,equi_rot_s1.0_eta0.1,[+1+1-1],[1 1 1],1.0000,0.1000,1.0000,0.0000,50.0,1.0e-03,Failure,371,0.3700,3.900924,false,1.000000,0.071322,0,NaN,
2,2+1-,equi_rot_s1.0_eta0.1,[+1+1-1],[1 1 1],4.0000,0.1000,1.0000,0.0000,50.0,1.0e-03,Success,50001,50.0000,0.139959,false,67.624204,0.102480,0,NaN,
3,2+1-,equi_rot_s2.0_eta0.1,[+1+1-1],[1 1 1],1.0000,0.1000,2.0000,0.0000,50.0,1.0e-03,Failure,1371,1.3700,47.407005,false,2.000000,0.049912,0,NaN,
4,2+1-,equi_rot_s2.0_eta0.1,[+1+1-1],[1 1 1],4.0000,0.1000,2.0000,0.0000,50.0,1.0e-03,Success,50001,50.0000,0.009699,false,43.489301,0.229958,0,NaN,
5,2+1-,equi_rot_s3.0_eta0.1,[+1+1-1],[1 1 1],1.0000,0.1000,3.0000,0.0000,50.0,1.0e-03,Failure,10497,10.4960,239.602136,false,6.280466,0.051272,0,NaN,
6,2+1-,equi_rot_s3.0_eta0.1,[+1+1-1],[1 1 1],4.0000,0.1000,3.0000,0.0000,50.0,1.0e-03,Success,50001,50.0000,0.002380,false,32.188097,0.358197,0,NaN,
7,2+1-,equi_rot_s1.0_eta0.25,[+1+1-1],[1 1 1],1.0000,0.2500,1.0000,0.0000,50.0,1.0e-03,Failure,395,0.3940,23.078423,false,1.000000,0.056804,0,NaN,
8,2+1-,equi_rot_s1.0_eta0.25,[+1+1-1],[1 1 1],4.0000,0.2500,1.0000,0.0000,50.0,1.0e-03,Failure,762,0.7610,50.092319,false,1.159001,0.026176,0,NaN,
9,2+1-,equi_rot_s2.0_eta0.25,[+1+1-1],[1 1 1],1.0000,0.2500,2.0000,0.0000,50.0,1.0e-03,Failure,1422,1.4210,0.067421,false,2.000000,0.070722,0,NaN,
10,2+1-,equi_rot_s2.0_eta0.25,[+1+1-1],[1 1 1],4.0000,0.2500,2.0000,0.0000,50.0,1.0e-03,Failure,34794,34.7930,4.260438,false,37.471520,0.059078,0,NaN,
11,2+1-,equi_rot_s3.0_eta0.25,[+1+1-1],[1 1 1],1.0000,0.2500,3.0000,0.0000,50.0,1.0e-03,Failure,2943,2.9420,137.086280,false,3.000000,0.050234,0,NaN,
