t_center,omega1,omega2
9.99975000e+00,4.47455981e-02,4.81100527e-02
2.99997500e+01,4.92694380e-02,4.07214298e-02
4.99997500e+01,5.11010511e-02,3.94066220e-02
6.99997500e+01,4.75150287e-02,4.88712553e-02
8.99997500e+01,9.95554802e-02,5.18376686e-02
1.09999750e+02,4.48720750e-02,5.04913424e-02
1.29999750e+02,4.96194424e-02,4.26796664e-02
1.49999750e+02,5.08626294e-02,4.01868773e-02
1.69999750e+02,4.68728193e-02,4.78417426e-02
1.89999750e+02,5.19292390e-02,3.61660072e-02
2.09999750e+02,4.97437289e-02,4.43370691e-02
2.29999750e+02,4.25607156e-02,5.02237008e-02
2.49999750e+02,4.72677940e-02,4.82234266e-02
2.69999750e+02,4.84971062e-02,4.78422065e-02
2.89999750e+02,3.90513239e-02,5.18495355e-02
