family,c,T,E,max_floquet,drift_pct,status,eigenvalue_types
circular_E-0.5,100.000000,4.442883,-0.500000,1.000000,0.000000,Closed,loxodromic;loxodromic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-0.5,50.000000,4.442883,-0.500000,1.000001,0.000000,Closed,loxodromic;loxodromic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-0.5,20.000000,4.442883,-0.500000,1.000001,0.000000,Closed,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-0.5,10.000000,4.442883,-0.500000,1.000000,0.000000,Closed,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-0.5,5.000000,4.442883,-0.500000,1.000000,0.000000,Closed,elliptic;elliptic;loxodromic;loxodromic;elliptic;elliptic;elliptic;elliptic
circular_E-0.5,4.000000,4.442883,-0.500000,1.000000,0.000000,Closed,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-0.5,3.000000,4.442883,-0.500000,1.000000,0.000000,Closed,elliptic;elliptic;loxodromic;loxodromic;elliptic;elliptic;elliptic;elliptic
circular_E-0.5,2.000000,4.442883,-0.500000,1.000001,0.000000,Closed,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-0.5,1.500000,4.442883,-0.500000,1.000000,0.000000,Closed,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-0.5,1.000000,4.442883,-0.500000,1.000001,0.000000,Closed,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-1.0,100.000000,1.570796,-1.000000,1.000001,0.000000,Closed,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-1.0,50.000000,1.570796,-1.000000,1.000001,0.000000,Closed,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-1.0,20.000000,1.570796,-1.000000,1.000001,0.000000,Closed,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-1.0,10.000000,1.570796,-1.000000,1.000000,0.000000,Closed,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-1.0,5.000000,1.570796,-1.000000,1.000000,0.000000,Closed,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-1.0,4.000000,1.570796,-1.000000,1.000000,0.000000,Closed,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-1.0,3.000000,1.570796,-1.000000,1.000000,0.000000,Closed,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-1.0,2.000000,1.570796,-1.000000,1.000001,0.000000,Closed,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-1.0,1.500000,1.570796,-1.000000,1.000000,0.000000,Closed,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-1.0,1.000000,1.570796,-1.000000,1.000000,0.000000,Closed,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-2.0,100.000000,0.555360,-2.000000,1.000001,0.000000,Open,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-2.0,50.000000,0.555360,-2.000000,1.000000,0.000000,Open,loxodromic;loxodromic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-2.0,20.000000,0.555360,-2.000000,1.000000,0.000000,Open,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-2.0,10.000000,0.555360,-2.000000,1.000000,0.000000,Open,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-2.0,5.000000,0.555360,-2.000000,1.000000,0.000000,Open,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-2.0,4.000000,0.555360,-2.000000,1.000000,0.000000,Open,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-2.0,3.000000,0.555360,-2.000000,1.000000,0.000000,Open,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-2.0,2.000000,0.555360,-2.000000,1.000000,0.000000,Open,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-2.0,1.500000,0.555360,-2.000000,1.000000,0.000000,Open,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
circular_E-2.0,1.000000,0.555360,-2.000000,1.000000,0.000000,Open,elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
elliptic_E-1.0_e0.3,100.000000,1.570796,-1.000000,1.322637,0.000150,Closed,positive_hyperbolic;positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic;positive_hyperbolic
elliptic_E-1.0_e0.3,50.000000,1.570796,-1.000000,1.754812,0.000150,NearClosed,positive_hyperbolic;positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic;positive_hyperbolic
elliptic_E-1.0_e0.3,20.000000,1.568440,-1.000000,1.769650,0.000150,NearClosed,positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic
elliptic_E-1.0_e0.3,10.000000,1.562864,-1.000000,3.970316,0.000150,NearClosed,positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic
elliptic_E-1.0_e0.3,5.000000,1.540920,-1.000000,7.348500,0.000151,NearClosed,positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic
elliptic_E-1.0_e0.3,4.000000,1.527482,-1.000000,6.335843,0.000152,Open,positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic
elliptic_E-1.0_e0.3,3.000000,1.510980,-1.000000,2.644760,0.000154,Open,loxodromic;loxodromic;loxodromic;loxodromic;elliptic;elliptic;elliptic;elliptic
elliptic_E-1.0_e0.3,2.000000,1.570796,-1.000000,1.701093,0.000158,Open,negative_hyperbolic;negative_hyperbolic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
elliptic_E-1.0_e0.3,1.500000,1.696460,-1.000000,15.075987,0.000165,Open,elliptic;elliptic;positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic
elliptic_E-1.0_e0.3,1.000000,1.539380,-1.000000,17.058988,0.000202,Open,negative_hyperbolic;elliptic;elliptic;negative_hyperbolic;elliptic;elliptic;elliptic;elliptic
elliptic_E-1.0_e0.5,100.000000,1.570796,-1.000000,1.945463,0.000662,NearClosed,positive_hyperbolic;positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic;positive_hyperbolic
elliptic_E-1.0_e0.5,50.000000,1.570011,-1.000000,1.000000,0.000662,NearClosed,loxodromic;loxodromic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
elliptic_E-1.0_e0.5,20.000000,1.567655,-1.000000,4.947423,0.000663,NearClosed,positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic
elliptic_E-1.0_e0.5,10.000000,1.557421,-1.000000,11.000425,0.000667,NearClosed,positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic
elliptic_E-1.0_e0.5,5.000000,1.522911,-1.000000,19.145210,0.000683,Open,positive_hyperbolic;positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic;positive_hyperbolic
